2026-01-12 11:18:28,024 | INFO | 🚀 Bot iniciado: SPY | MACross_SMA_10_50 | cada 5min
2026-01-12 11:18:28,654 | INFO | 💰 Equity: $100,000.00 | Cash: $100,000.00
2026-01-12 11:18:28,778 | INFO | 📴 Mercado cerrado. Esperando...
2026-01-12 11:23:29,166 | INFO | 📴 Mercado cerrado. Esperando...
2026-01-12 11:28:29,631 | INFO | 📴 Mercado cerrado. Esperando...
2026-01-12 11:42:21,664 | INFO | 🛑 Bot detenido por usuario
2026-01-12 11:42:32,175 | INFO | 🚀 Bot iniciado: SPY | MACross_SMA_10_50 | cada 1min
2026-01-12 11:42:32,642 | INFO | 💰 Equity: $100,000.00 | Cash: $100,000.00
2026-01-12 11:42:33,790 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:43:34,469 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:44:36,020 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:45:37,017 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:46:38,320 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:47:39,933 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:48:40,878 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:49:42,213 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:50:43,428 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:51:44,863 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:52:45,400 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:53:46,137 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:54:47,191 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:55:48,423 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:56:49,456 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:57:50,755 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:58:52,063 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 11:59:52,969 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 12:00:54,141 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 12:01:54,655 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 12:02:55,419 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 12:03:56,136 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
2026-01-12 12:04:56,950 | INFO | ⏳ Sin señal | Entry: False | Exit: False | Posición: False
